CID;NAME;COUNTRY;INDUSTRY;SECTOR;REQUIREMENTS;PREFERENCES
ORG0000011;Airbus;France;Aircraft Manufacturing;Aerospace & Defense;Export-friendly tax policies, Private sector partnerships, Long-term procurement cycles;Long-term procurement cycles, Advanced aerospace R&D, Private sector partnerships
ORG0000012;Boeing;United States;Aircraft Manufacturing;Aerospace & Defense;Stable government funding, Long-term procurement cycles, Advanced aerospace R&D;Defense offset agreements, Stable government funding, Advanced aerospace R&D
ORG0000013;Bombardier Aerospace;Canada;Aircraft Manufacturing;Aerospace & Defense;Defense offset agreements, Private sector partnerships, Export-friendly tax policies;Private sector partnerships, Advanced aerospace R&D, Stable government funding
ORG0000014;Embraer;Brazil;Aircraft Manufacturing;Aerospace & Defense;Private sector partnerships, Long-term procurement cycles, Stable government funding;Stable government funding, Private sector partnerships, Defense offset agreements
ORG0000015;BAE Systems;United Kingdom;Defense Contractors;Aerospace & Defense;Private sector partnerships, Advanced aerospace R&D, Export-friendly tax policies;Private sector partnerships, Advanced aerospace R&D, Stable government funding
ORG0000016;General Dynamics;United States;Defense Contractors;Aerospace & Defense;Export-friendly tax policies, Defense offset agreements, Private sector partnerships;Long-term procurement cycles, Advanced aerospace R&D, Private sector partnerships
ORG0000017;Lockheed Martin;United States;Defense Contractors;Aerospace & Defense;Stable government funding, Private sector partnerships, Export-friendly tax policies;Export-friendly tax policies, Private sector partnerships, Advanced aerospace R&D
ORG0000018;Northrop Grumman;United States;Defense Contractors;Aerospace & Defense;Defense offset agreements, Export-friendly tax policies, Private sector partnerships;Private sector partnerships, Long-term procurement cycles, Export-friendly tax policies
ORG0000019;Leonardo S.p.A.;Italy;Military Systems;Aerospace & Defense;Private sector partnerships, Long-term procurement cycles, Defense offset agreements;Private sector partnerships, Stable government funding, Advanced aerospace R&D
ORG0000020;Raytheon Technologies;United States;Military Systems;Aerospace & Defense;Private sector partnerships, Export-friendly tax policies, Stable government funding;Defense offset agreements, Private sector partnerships, Advanced aerospace R&D
ORG0000021;Saab AB;Sweden;Military Systems;Aerospace & Defense;Defense offset agreements, Long-term procurement cycles, Export-friendly tax policies;Private sector partnerships, Long-term procurement cycles, Export-friendly tax policies
ORG0000022;Thales Group;France;Military Systems;Aerospace & Defense;Private sector partnerships, Stable government funding, Long-term procurement cycles;Export-friendly tax policies, Defense offset agreements, Stable government funding
ORG0000023;Blue Origin;United States;Space Exploration;Aerospace & Defense;Defense offset agreements, Long-term procurement cycles, Advanced aerospace R&D;Advanced aerospace R&D, Long-term procurement cycles, Export-friendly tax policies
ORG0000024;Northrop Grumman;United States;Space Exploration;Aerospace & Defense;Long-term procurement cycles, Export-friendly tax policies, Stable government funding;Stable government funding, Defense offset agreements, Advanced aerospace R&D
ORG0000025;SpaceX;United States;Space Exploration;Aerospace & Defense;Advanced aerospace R&D, Defense offset agreements, Export-friendly tax policies;Advanced aerospace R&D, Private sector partnerships, Defense offset agreements
ORG0000026;United Launch Alliance;United States;Space Exploration;Aerospace & Defense;Defense offset agreements, Private sector partnerships, Stable government funding;Advanced aerospace R&D, Long-term procurement cycles, Export-friendly tax policies
ORG0000027;ADM (Archer Daniels Midland);United States;Agribusiness;Agriculture;Agri-fintech adoption, Farmer co-op funding, Climate-smart farming models;Farmer co-op funding, Organic farming incentives, High-yield seed research
ORG0000028;Bunge Limited;United States;Agribusiness;Agriculture;Climate-smart farming models, Efficient water usage funds, High-yield seed research;High-yield seed research, Climate-smart farming models, Efficient water usage funds
ORG0000029;Cargill;United States;Agribusiness;Agriculture;Climate-smart farming models, High-yield seed research, Efficient water usage funds;Agri-fintech adoption, Organic farming incentives, High-yield seed research
ORG0000030;Nutrien Ag Solutions;Canada;Agribusiness;Agriculture;Organic farming incentives, Agri-fintech adoption, Efficient water usage funds;Efficient water usage funds, Climate-smart farming models, High-yield seed research
ORG0000031;Ag Leader Technology;United States;Precision Agriculture;Agriculture;Efficient water usage funds, Climate-smart farming models, Farmer co-op funding;Efficient water usage funds, Agri-fintech adoption, High-yield seed research
ORG0000032;AgJunction, Inc.;Canada;Precision Agriculture;Agriculture;High-yield seed research, Farmer co-op funding, Organic farming incentives;Agri-fintech adoption, Organic farming incentives, Farmer co-op funding
ORG0000033;Deere & Company;United States;Precision Agriculture;Agriculture;High-yield seed research, Climate-smart farming models, Agri-fintech adoption;Agri-fintech adoption, High-yield seed research, Farmer co-op funding
